Queries:
Query:
Country of Operator/Owner	Current Official Name of Satellite	
Multinational	Eutelsat 113 West A	
Multinational	Eutelsat 117 West A	
Multinational	Eutelsat 117 West B	
Mexico	Mexsat-3	
Mexico	Mexsat-3	
Mexico	Painani-1	
Total Rows: 6
Query:
Current Official Name of Satellite	Class of Orbit	Launch Mass (kg.)	
SEEDS 2	LEO	3	
SeeMe	LEO	25	
Sentinel 1A	LEO	"2,300"	
Sentinel 1B	LEO	"2,300"	
Sentinel 2A	LEO	"1,130"	
Sentinel 2B	LEO	"1,130"	
Sentinel 3A	LEO	"2,300"	
Sentinel 3B	LEO	"2,300"	
Sentinel 5P	LEO	820	
Sentinel 6	LEO	"1,192"	
SES-1	GEO		
SES-10	GEO	"5,271"	
SES-11/EchoStar 105	GEO	"5,200"	
SES-12	GEO	"5,300"	
SES-14	GEO	"4,423"	
SES-15	GEO		
SES-17	GEO	"6,411"	
SES-2	GEO	"3,200"	
SES-3	GEO	"3,112"	
SES-4	GEO		
SES-5	GEO	"6,007"	
SES-6	GEO	"6,140"	
SES-7	GEO	"4,007"	
SES-8	GEO	"3,138"	
SES-9	GEO	"5,271"	
SGDC	GEO	"5,735"	
Shaonian Xing	LEO	3	
SHFT	LEO	5	
Shields 1	LEO	4	
Shijian 11-01	LEO		
Shijian 11-02	LEO		
Shijian 11-03	LEO		
Shijian 11-05	LEO		
Shijian 11-06	LEO		
Shijian 11-07	LEO		
Shijian 11-08	LEO		
Shijian 12	LEO		
Shijian 13	GEO	"4,600"	
Shijian 15	LEO		
Shijian 16-01	LEO		
Shijian 16-02	LEO		
Shijian 17	GEO	"3,800"	
Shijian 20	GEO	"7,600"	
Shijian 21	GEO	"5,000"	
Shijian 6-05A	LEO		
Shijian 6-05B	LEO		
Shijian 6A	LEO		
Shijian 6B	LEO		
Shijian 6C	LEO		
Shijian 6D	LEO		
Shijian 6E	LEO		
Shijian 6F	LEO		
Shijian 6G	LEO		
Shijian 6H	LEO		
Shijian 7	LEO		
Shijian 9A	LEO		
Shijian 9B	LEO		
Shiyan 1	LEO	204	
Shiyan 11	LEO	200	
Shiyan 12-01	GEO	"3,000"	
Shiyan 12-02	GEO	"3,000"	
Shiyan 13	LEO	500	
Shiyan 3	LEO	300	
Shiyan 4	LEO	300	
Shiyan 5	LEO	204	
Shiyan 6-01	LEO		
Shiyan 6-02	LEO		
Shiyan 6-03	LEO	"1,500"	
Shiyan 7	LEO		
Shiyan 9	GEO	"5,000"	
Sich-2-1	LEO	170	
Sicral 1A	GEO	"2,596"	
Sicral 1B	GEO	"3,038"	
Sicral 2/Syracuse 3C	GEO	"4,400"	
SIMBA	LEO	6	
SINOD D-1	LEO	2	
SINOD D-3	LEO	2	
Sinosat-6	GEO	"5,000"	
Sirius-1 (SD Radio 1)	Elliptical	"3,727"	
Sirius 2 (SD Radio 2)	Elliptical	"3,792"	
Sirius 3 (SD Radio 3)	Elliptical	"3,727"	
Sirius 4	GEO	"4,400"	
Sirius FM-5	GEO	"5,800"	
Sirius FM-6	GEO	"6,020"	
Sirius XM-3	GEO	"4,703"	
Sirius XM-4	GEO	"5,193"	
Sirius XM-5	GEO	"5,983"	
Sirius XM-8	GEO	"7,000"	
Siwei 01	LEO	540	
Siwei 02	LEO	540	
Sky Mexico-1	GEO	"3,180"	
Sky Muster 1	GEO	"6,440"	
Sky Muster 2	GEO	"6,405"	
SkyBrasil-1 (Intelsat 32E)	GEO	"6,000"	
Skynet 4C	GEO	"1,474"	
Skynet 4E	GEO	"1,510"	
Skynet 5A	GEO	"4,700"	
Skynet 5B	GEO	"4,635"	
Skynet 5C	GEO	"4,600"	
Skynet 5D	GEO	"4,638"	
SkySat-1	LEO		
SkySat-10	LEO	110	
SkySat-11	LEO	110	
SkySat-12	LEO	110	
SkySat-13	LEO	110	
SkySat-14	LEO	100	
SkySat-15	LEO	100	
SkySat-16	LEO	100	
SkySat-17	LEO	100	
SkySat-18	LEO	100	
SkySat-19	LEO	110	
SkySat-2	LEO	90	
SkySat-20	LEO	110	
SkySat-21	LEO	110	
SkySat-3	LEO	110	
SkySat-4	LEO	110	
SkySat-5	LEO	110	
SkySat-6	LEO	110	
SkySat-7	LEO	110	
SkySat-8	LEO	110	
SkySat-9	LEO	110	
SkyTerra 1	GEO	"5,360"	
USA 119	Elliptical		
SMAP	LEO		
SMDC-ONE 1.1	LEO	5	
SMDC-ONE 1.2	LEO	3	
SMDC-ONE 2.3	LEO	5	
SMDC-ONE 2.4	LEO	5	
SMOS	LEO	658	
SNaP-3 Alice	LEO	5	
SNaP-3 Eddie	LEO	5	
SNaP-3 Jimi	LEO	5	
SNaP-3-1	LEO		
S-Net-1	LEO	9	
S-Net-2	LEO	9	
S-Net-3	LEO	9	
S-Net-4	LEO	9	
SOCRATES	LEO	48	
SOHLA 1	LEO	50	
SOKRAT	LEO	4	
SOMP-2b	LEO	3	
SONATE	LEO	1	
SOlar Radiation and Climate Experiment (SORCE)	LEO	315	
SORTIE	LEO	9	
South Asia Satellite	GEO	"2,230"	
SpaceBEE-1	LEO	1	
SpaceBEE-10	LEO	2	
SpaceBEE-100	LEO	2	
SpaceBEE-101	LEO	2	
SpaceBEE-102	LEO	2	
SpaceBEE-103	LEO	2	
SpaceBEE-104	LEO	2	
SpaceBEE-105	LEO	2	
SpaceBEE-106	LEO	2	
SpaceBEE-107	LEO	2	
SpaceBEE-108	LEO	2	
SpaceBEE-109	LEO	2	
SpaceBEE-11 	LEO	2	
SpaceBEE-110	LEO	2	
SpaceBEE-111	LEO	2	
SpaceBEE-112 	LEO	2	
SpaceBEE-113	LEO	2	
SpaceBEE-114	LEO	2	
SpaceBEE-115	LEO	2	
SpaceBEE-116	LEO	2	
SpaceBEE-117	LEO	2	
SpaceBEE-118	LEO	2	
SpaceBEE-119	LEO	2	
SpaceBEE-12	LEO	2	
SpaceBEE-120	LEO	2	
SpaceBEE-121	LEO	2	
SpaceBEE-122	LEO	2	
SpaceBEE-123	LEO	2	
SpaceBEE-124	LEO	2	
SpaceBEE-125	LEO	2	
SpaceBEE-126	LEO	2	
SpaceBEE-127 	LEO	2	
SpaceBEE-128	LEO	2	
SpaceBEE-129	LEO	2	
SpaceBEE-13	LEO	2	
SpaceBEE-130	LEO	2	
SpaceBEE-131	LEO	2	
SpaceBEE-132	LEO	2	
SpaceBEE-133	LEO	2	
SpaceBEE-134	LEO	2	
SpaceBEE-135	LEO	2	
SpaceBEE-136	LEO	2	
SpaceBEE-137	LEO	2	
SpaceBEE-138	LEO	2	
SpaceBEE-139	LEO	2	
SpaceBEE-14 	LEO	2	
SpaceBEE-15	LEO	2	
SpaceBEE-16	LEO	2	
SpaceBEE-17	LEO	2	
SpaceBEE-18	LEO	2	
SpaceBEE-19	LEO	2	
SpaceBEE-2	LEO	1	
SpaceBEE-20 	LEO	2	
SpaceBEE-21 	LEO	2	
SpaceBEE-22 	LEO	2	
SpaceBEE-23 	LEO	2	
SpaceBEE-24 	LEO	2	
SpaceBEE-25 	LEO	2	
SpaceBEE-26 	LEO	2	
SpaceBEE-27 	LEO	2	
SpaceBEE-28 	LEO	2	
SpaceBEE-29 	LEO	2	
SpaceBEE-3	LEO	1	
SpaceBEE-30 	LEO	2	
SpaceBEE-31 	LEO	2	
SpaceBEE-32 	LEO	2	
SpaceBEE-33 	LEO	2	
SpaceBEE-34	LEO	2	
SpaceBEE-35	LEO	2	
SpaceBEE-36 	LEO	2	
SpaceBEE-37 	LEO	2	
SpaceBEE-38	LEO	2	
SpaceBEE-39 	LEO	2	
SpaceBEE-4	LEO	1	
SpaceBEE-40 	LEO	2	
SpaceBEE-41 	LEO	2	
SpaceBEE-42 	LEO	2	
SpaceBEE-43 	LEO	2	
SpaceBEE-44 	LEO	2	
SpaceBEE-45 	LEO	2	
SpaceBEE-46 	LEO	2	
SpaceBEE-47 	LEO	2	
SpaceBEE-48 	LEO	2	
SpaceBEE-49 	LEO	2	
SpaceBEE-5	LEO	2	
SpaceBEE-50 	LEO	2	
SpaceBEE-51 	LEO	2	
SpaceBEE-52 	LEO	2	
SpaceBEE-53 	LEO	2	
SpaceBEE-54 	LEO	2	
SpaceBEE-55 	LEO	2	
SpaceBEE-56 	LEO	2	
SpaceBEE-57 	LEO	2	
SpaceBEE-58 	LEO	2	
SpaceBEE-59 	LEO	2	
SpaceBEE-6	LEO	2	
SpaceBEE-60 	LEO	2	
SpaceBEE-61 	LEO	2	
SpaceBEE-62 	LEO	2	
SpaceBEE-63 	LEO	2	
SpaceBEE-64	LEO	2	
SpaceBEE-65	LEO	2	
SpaceBEE-66	LEO	2	
SpaceBEE-67	LEO	2	
SpaceBEE-68	LEO	2	
SpaceBEE-69	LEO	2	
SpaceBEE-7	LEO	2	
SpaceBEE-70	LEO	2	
SpaceBEE-71	LEO	2	
SpaceBEE-72	LEO	2	
SpaceBEE-73	LEO	2	
SpaceBEE-74	LEO	2	
SpaceBEE-75	LEO	2	
SpaceBEE-76 	LEO	2	
SpaceBEE-79 	LEO	2	
SpaceBEE-77 	LEO	2	
SpaceBEE-78 	LEO	2	
SpaceBEE-80	LEO	2	
SpaceBEE-81	LEO	2	
SpaceBEE-82 	LEO	2	
SpaceBEE-83	LEO	2	
SpaceBEE-84	LEO	2	
SpaceBEE-85	LEO	2	
SpaceBEE-86 	LEO	2	
SpaceBEE-87	LEO	2	
SpaceBEE-88	LEO	2	
SpaceBEE-89	LEO	2	
SpaceBEE-90	LEO	2	
SpaceBEE-91	LEO	2	
SpaceBEE-92	LEO	2	
SpaceBEE-93	LEO	2	
SpaceBEE-94	LEO	2	
SpaceBEE-95	LEO	2	
SpaceBEE-96	LEO	2	
SpaceBEE-97	LEO	2	
SpaceBEE-98	LEO	2	
SpaceBEE-99	LEO	2	
SpaceBEE-NS14	LEO	2	
SpaceBEE-NZ1 	LEO	2	
SpaceBEE-NZ10	LEO	2	
SpaceBEE-NZ11	LEO	2	
SpaceBEE-NZ12	LEO	2	
SpaceBEE-NZ13 	LEO	2	
SpaceBEE-NZ2 	LEO	2	
SpaceBEE-NZ3	LEO	2	
SpaceBEE-NZ4 	LEO	2	
SpaceBEE-NZ5 	LEO	2	
SpaceBEE-NZ6 	LEO	2	
SpaceBEE-NZ7	LEO	2	
SpaceBEE-NZ8	LEO	2	
SpaceBEE-NZ9	LEO	2	
Spaceway 3	GEO	"6,100"	
Spaceway F2	GEO	"5,993"	
Spainsat	GEO	"3,680"	
SPARC-1	LEO	8	
Spark-1	LEO	50	
Spark-1	LEO	20	
Spark-2	LEO	50	
SPARTAN	LEO	10	
SPATIUM-I	LEO	3	
Spektr-R/RadioAstron	Elliptical	"3,660"	
SPIRALE-A	Elliptical	117	
SPIRALE-B	Elliptical	117	
Spot 6	LEO	720	
Spot 7	LEO	714	
SPROUT	LEO	7	
SRMSat	LEO	11	
SRSS-1	LEO	50	
SSOT	LEO	117	
SSS-1	LEO	30	
SSS-2A	LEO	4	
SSTL-S1-4	LEO	440	
ST-2	GEO	"5,090"	
Star One C1	GEO	"4,100"	
Star One C2	GEO	"4,100"	
Star One C3	GEO	"3,225"	
Star One C4	GEO	"5,634"	
Star One D1	GEO	"6,433"	
Star One D2	GEO	"6,190"	
Starlink-1007	LEO	227	
Starlink-1008	LEO	227	
Starlink-1009	LEO	227	
Starlink-1010	LEO	227	
Starlink-1011	LEO	227	
Starlink-1012	LEO	227	
Starlink-1013	LEO	227	
Starlink-1014	LEO	227	
Starlink-1015	LEO	227	
Starlink-1016	LEO	227	
Starlink-1017	LEO	227	
Starlink-1019	LEO	227	
Starlink-1020	LEO	227	
Starlink-1021	LEO	227	
Starlink-1022	LEO	227	
Starlink-1023	LEO	227	
Starlink-1024	LEO	227	
Starlink-1026	LEO	227	
Starlink-1027	LEO	227	
Starlink-1028	LEO	227	
Starlink-1029	LEO	227	
Starlink-1030	LEO	227	
Starlink-1031	LEO	227	
Starlink-1032	LEO	227	
Starlink-1033	LEO	227	
Starlink-1034	LEO	227	
Starlink-1035	LEO	227	
Starlink-1036	LEO	227	
Starlink-1037	LEO	227	
Starlink-1038	LEO	227	
Starlink-1039	LEO	227	
Starlink-1041	LEO	227	
Starlink-1042	LEO	227	
Starlink-1043	LEO	227	
Starlink-1044	LEO	227	
Starlink-1046	LEO	227	
Starlink-1047	LEO	227	
Starlink-1048	LEO	227	
Starlink-1049	LEO	227	
Starlink-1052	LEO	227	
Starlink-1053	LEO	227	
Starlink-1054	LEO	227	
Starlink-1055	LEO	227	
Starlink-1056	LEO	227	
Starlink-1057	LEO	227	
Starlink-1058	LEO	227	
Starlink-1059	LEO	227	
Starlink-1060	LEO	227	
Starlink-1061	LEO	227	
Starlink-1062	LEO	227	
Starlink-1063	LEO	227	
Starlink-1065	LEO	227	
Starlink-1066	LEO	227	
Starlink-1067	LEO	227	
Starlink-1068	LEO	227	
Starlink-1069	LEO	227	
Starlink-1070	LEO	227	
Starlink-1071	LEO	227	
Starlink-1073	LEO	227	
Starlink-1074	LEO	227	
Starlink-1076	LEO	227	
Starlink-1077	LEO	227	
Starlink-1079	LEO	227	
Starlink-1080	LEO	227	
Starlink-1081	LEO	227	
Starlink-1082	LEO	227	
Starlink-1083	LEO	227	
Starlink-1084	LEO	227	
Starlink-1085	LEO	227	
Starlink-1086	LEO	227	
Starlink-1088	LEO	227	
Starlink-1089	LEO	227	
Starlink-1090	LEO	227	
Starlink-1091	LEO	227	
Starlink-1092	LEO	227	
Starlink-1093	LEO	227	
Starlink-1094	LEO	227	
Starlink-1096	LEO	227	
Starlink-1098	LEO	227	
Starlink-1099	LEO	227	
Starlink-1100	LEO	227	
Starlink-1102	LEO	227	
Starlink-1103	LEO	227	
Starlink-1104	LEO	227	
Starlink-1106	LEO	227	
Starlink-1107	LEO	227	
Starlink-1108	LEO	227	
Starlink-1109	LEO	227	
Starlink-1110	LEO	227	
Starlink-1111	LEO	227	
Starlink-1112	LEO	227	
Starlink-1113	LEO	227	
Starlink-1114	LEO	227	
Starlink-1115	LEO	227	
Starlink-1116	LEO	227	
Starlink-1117	LEO	227	
Starlink-1119	LEO	227	
Starlink-1120	LEO	227	
Starlink-1121	LEO	227	
Starlink-1122	LEO	227	
Starlink-1123	LEO	227	
Starlink-1124	LEO	227	
Starlink-1125	LEO	227	
Starlink-1126	LEO	227	
Starlink-1128	LEO	227	
Starlink-1129	LEO	227	
Starlink-1130	LEO	227	
Starlink-1131	LEO	227	
Starlink-1132	LEO	227	
Starlink-1133	LEO	227	
Starlink-1134	LEO	227	
Starlink-1135	LEO	227	
Starlink-1136	LEO	227	
Starlink-1137	LEO	227	
Starlink-1138	LEO	227	
Starlink-1139	LEO	227	
Starlink-1140	LEO	227	
Starlink-1141	LEO	227	
Starlink-1142	LEO	227	
Starlink-1143	LEO	227	
Starlink-1144	LEO	227	
Starlink-1145	LEO	227	
Starlink-1146	LEO	227	
Starlink-1147	LEO	227	
Starlink-1148	LEO	227	
Starlink-1149	LEO	227	
Starlink-1150	LEO	227	
Starlink-1151	LEO	227	
Starlink-1152	LEO	227	
Starlink-1153	LEO	227	
Starlink-1154	LEO	227	
Starlink-1155	LEO	227	
Starlink-1156	LEO	227	
Starlink-1157	LEO	227	
Starlink-1158	LEO	227	
Starlink-1159	LEO	227	
Starlink-1160	LEO	227	
Starlink-1161	LEO	227	
Starlink-1162	LEO	227	
Starlink-1165	LEO	227	
Starlink-1166	LEO	227	
Starlink-1167	LEO	227	
Starlink-1168	LEO	227	
Starlink-1169	LEO	227	
Starlink-1170	LEO	227	
Starlink-1171	LEO	227	
Starlink-1172	LEO	227	
Starlink-1173	LEO	227	
Starlink-1174	LEO	227	
Starlink-1176	LEO	227	
Starlink-1177	LEO	227	
Starlink-1179	LEO	227	
Starlink-1180	LEO	227	
Starlink-1181	LEO	227	
Starlink-1183	LEO	227	
Starlink-1184	LEO	227	
Starlink-1185	LEO	227	
Starlink-1186	LEO	227	
Starlink-1187	LEO	227	
Starlink-1189	LEO	227	
Starlink-1190	LEO	227	
Starlink-1191	LEO	227	
Starlink-1192	LEO	227	
Starlink-1193	LEO	227	
Starlink-1194	LEO	227	
Starlink-1195	LEO	227	
Starlink-1196	LEO	227	
Starlink-1197	LEO	227	
Starlink-1199	LEO	227	
Starlink-1200	LEO	227	
Starlink-1201	LEO	227	
Starlink-1202	LEO	227	
Starlink-1203	LEO	227	
Starlink-1205	LEO	227	
Starlink-1206	LEO	227	
Starlink-1207	LEO	227	
Starlink-1208	LEO	227	
Starlink-1209	LEO	227	
Starlink-1210	LEO	227	
Starlink-1211	LEO	227	
Starlink-1212	LEO	227	
Starlink-1213	LEO	227	
Starlink-1214	LEO	227	
Starlink-1215	LEO	227	
Starlink-1216	LEO	227	
Starlink-1217	LEO	227	
Starlink-1218	LEO	227	
Starlink-1219	LEO	227	
Starlink-1221	LEO	227	
Starlink-1222	LEO	227	
Starlink-1224	LEO	227	
Starlink-1225	LEO	227	
Starlink-1226	LEO	227	
Starlink-1227	LEO	227	
Starlink-1228	LEO	227	
Starlink-1229	LEO	227	
Starlink-1230	LEO	227	
Starlink-1231	LEO	227	
Starlink-1232	LEO	227	
Starlink-1233	LEO	227	
Starlink-1234	LEO	227	
Starlink-1235	LEO	227	
Starlink-1236	LEO	227	
Starlink-1237	LEO	227	
Starlink-1238	LEO	227	
Starlink-1239	LEO	227	
Starlink-1240	LEO	227	
Starlink-1241	LEO	227	
Starlink-1243	LEO	227	
Starlink-1244	LEO	227	
Starlink-1245	LEO	227	
Starlink-1246	LEO	227	
Starlink-1247	LEO	227	
Starlink-1255	LEO	227	
Starlink-1256	LEO	227	
Starlink-1257	LEO	227	
Starlink-1258	LEO	227	
Starlink-1259	LEO	227	
Starlink-1260	LEO	227	
Starlink-1261	LEO	227	
Starlink-1262	LEO	227	
Starlink-1263	LEO	227	
Starlink-1264	LEO	227	
Starlink-1265	LEO	227	
Starlink-1266	LEO	227	
Starlink-1267	LEO	227	
Starlink-1269	LEO	227	
Starlink-1270	LEO	227	
Starlink-1271	LEO	227	
Starlink-1272	LEO	227	
Starlink-1273	LEO	227	
Starlink-1274	LEO	227	
Starlink-1275	LEO	227	
Starlink-1276	LEO	227	
Starlink-1277	LEO	227	
Starlink-1278	LEO	227	
Starlink-1279	LEO	227	
Starlink-1280	LEO	227	
Starlink-1281	LEO	227	
Starlink-1282	LEO	227	
Starlink-1283	LEO	227	
Starlink-1284	LEO	227	
Starlink-1285	LEO	227	
Starlink-1286	LEO	227	
Starlink-1287	LEO	227	
Starlink-1288	LEO	227	
Starlink-1289	LEO	227	
Starlink-1290	LEO	227	
Starlink-1291	LEO	227	
Starlink-1292	LEO	227	
Starlink-1293	LEO	227	
Starlink-1294	LEO	227	
Starlink-1295	LEO	227	
Starlink-1296	LEO	227	
Starlink-1297	LEO	227	
Starlink-1298	LEO	227	
Starlink-1299	LEO	227	
Starlink-1300	LEO	227	
Starlink-1301	LEO	227	
Starlink-1302	LEO	227	
Starlink-1303	LEO	227	
Starlink-1304	LEO	227	
Starlink-1305	LEO	227	
Starlink-1306	LEO	227	
Starlink-1307	LEO	227	
Starlink-1308	LEO	227	
Starlink-1309	LEO	227	
Starlink-1310	LEO	227	
Starlink-1312	LEO	227	
Starlink-1313	LEO	227	
Starlink-1316	LEO	227	
Starlink-1317	LEO	227	
Starlink-1318	LEO	227	
Starlink-1319	LEO	227	
Starlink-1320	LEO	227	
Starlink-1321	LEO	227	
Starlink-1322	LEO	227	
Starlink-1323	LEO	227	
Starlink-1324	LEO	227	
Starlink-1325	LEO	227	
Starlink-1326	LEO	227	
Starlink-1327	LEO	227	
Starlink-1328	LEO	227	
Starlink-1329	LEO	227	
Starlink-1330	LEO	227	
Starlink-1331	LEO	227	
Starlink-1332	LEO	227	
Starlink-1333	LEO	227	
Starlink-1334	LEO	227	
Starlink-1335	LEO	227	
Starlink-1336	LEO	227	
Starlink-1337	LEO	227	
Starlink-1338	LEO	227	
Starlink-1339	LEO	227	
Starlink-1340	LEO	227	
Starlink-1341	LEO	227	
Starlink-1342	LEO	227	
Starlink-1343	LEO	227	
Starlink-1344	LEO	227	
Starlink-1346	LEO	227	
Starlink-1347	LEO	227	
Starlink-1348	LEO	227	
Starlink-1349	LEO	227	
Starlink-1350	LEO	227	
Starlink-1351 	LEO	227	
Starlink-1352	LEO	227	
Starlink-1353	LEO	227	
Starlink-1354	LEO	227	
Starlink-1355	LEO	227	
Starlink-1356	LEO	227	
Starlink-1357	LEO	227	
Starlink-1358	LEO	227	
Starlink-1360	LEO	227	
Starlink-1361	LEO	227	
Starlink-1362	LEO	227	
Starlink-1363	LEO	227	
Starlink-1364	LEO	227	
Starlink-1365	LEO	227	
Starlink-1366	LEO	227	
Starlink-1367	LEO	227	
Starlink-1368	LEO	227	
Starlink-1369	LEO	227	
Starlink-1370	LEO	227	
Starlink-1371	LEO	227	
Starlink-1372	LEO	227	
Starlink-1373	LEO	227	
Starlink-1374	LEO	227	
Starlink-1375	LEO	227	
Starlink-1376	LEO	227	
Starlink-1377	LEO	227	
Starlink-1378	LEO	227	
Starlink-1390	LEO	227	
Starlink-1391 	LEO	227	
Starlink-1392	LEO	227	
Starlink-1393	LEO	227	
Starlink-1394 	LEO	227	
Starlink-1395	LEO	227	
Starlink-1396	LEO	227	
Starlink-1397	LEO	227	
Starlink-1398	LEO	227	
Starlink-1399 	LEO	227	
Starlink-1400	LEO	227	
Starlink-1401	LEO	227	
Starlink-1402	LEO	227	
Starlink-1403	LEO	227	
Starlink-1404	LEO	227	
Starlink-1405	LEO	227	
Starlink-1407	LEO	227	
Starlink-1408	LEO	227	
Starlink-1409	LEO	227	
Starlink-1410	LEO	227	
Starlink-1411	LEO	227	
Starlink-1412	LEO	227	
Starlink-1413	LEO	227	
Starlink-1414 	LEO	227	
Starlink-1415	LEO	227	
Starlink-1416	LEO	227	
Starlink-1417	LEO	227	
Starlink-1418	LEO	227	
Starlink-1419	LEO	227	
Starlink-1420	LEO	227	
Starlink-1421 	LEO	227	
Starlink-1422 	LEO	227	
Starlink-1423 	LEO	227	
Starlink-1433 	LEO	227	
Starlink-1434 	LEO	227	
Starlink-1436 (VisorSat)	LEO	227	
Starlink-1437	LEO	227	
Starlink-1438	LEO	227	
Starlink-1441	LEO	227	
Starlink-1442 	LEO	227	
Starlink-1443	LEO	227	
Starlink-1444 	LEO	227	
Starlink-1445	LEO	227	
Starlink-1446	LEO	227	
Starlink-1448	LEO	227	
Starlink-1449	LEO	227	
Starlink-1450	LEO	227	
Starlink-1451 	LEO	227	
Starlink-1452 	LEO	227	
Starlink-1453 	LEO	227	
Starlink-1454 	LEO	227	
Starlink-1455	LEO	227	
Starlink-1456 	LEO	227	
Starlink-1457	LEO	227	
Starlink-1458 	LEO	227	
Starlink-1459 	LEO	227	
Starlink-1460 	LEO	227	
Starlink-1461	LEO	227	
Starlink-1462 	LEO	227	
Starlink-1463 	LEO	227	
Starlink-1464 	LEO	227	
Starlink-1465 	LEO	227	
Starlink-1466 	LEO	227	
Starlink-1467	LEO	227	
Starlink-1468	LEO	227	
Starlink-1469	LEO	227	
Starlink-1470	LEO	227	
Starlink-1471	LEO	227	
Starlink-1472 	LEO	227	
Starlink-1474 	LEO	227	
Starlink-1475	LEO	227	
Starlink-1476	LEO	227	
Starlink-1477	LEO	227	
Starlink-1478 	LEO	227	
Starlink-1479 	LEO	227	
Starlink-1480	LEO	227	
Starlink-1481	LEO	227	
Starlink-1482 	LEO	227	
Starlink-1483 	LEO	227	
Starlink-1484	LEO	227	
Starlink-1485 	LEO	227	
Starlink-1486	LEO	227	
Starlink-1487 	LEO	227	
Starlink-1488 	LEO	227	
Starlink-1489 	LEO	227	
Starlink-1490 	LEO	227	
Starlink-1491	LEO	227	
Starlink-1492 	LEO	227	
Starlink-1493 	LEO	227	
Starlink-1494	LEO	227	
Starlink-1495 	LEO	227	
Starlink-1496	LEO	227	
Starlink-1497 	LEO	227	
Starlink-1498	LEO	227	
Starlink-1499	LEO	227	
Starlink-1500	LEO	227	
Starlink-1501	LEO	227	
Starlink-1502	LEO	227	
Starlink-1503 	LEO	227	
Starlink-1504	LEO	227	
Starlink-1505 	LEO	227	
Starlink-1506 	LEO	227	
Starlink-1507 	LEO	227	
Starlink-1509 	LEO	227	
Starlink-1510 	LEO	227	
Starlink-1511 	LEO	227	
Starlink-1512	LEO	227	
Starlink-1513 	LEO	227	
Starlink-1514 	LEO	260	
Starlink-1515 	LEO	260	
Starlink-1517 	LEO	227	
Starlink-1521 	LEO	227	
Starlink-1522 	LEO	260	
Starlink-1523 	LEO	260	
Starlink-1524 	LEO	260	
Starlink-1525 	LEO	260	
Starlink-1526 	LEO	260	
Starlink-1527 	LEO	260	
Starlink-1528 	LEO	260	
Starlink-1529 	LEO	260	
Starlink-1530 	LEO	260	
Starlink-1531 	LEO	260	
Starlink-1532 	LEO	260	
Starlink-1533 	LEO	260	
Starlink-1534 	LEO	260	
Starlink-1536	LEO	260	
Starlink-1538 	LEO	260	
Starlink-1539 	LEO	260	
Starlink-1540 	LEO	260	
Starlink-1541 	LEO	260	
Starlink-1542 	LEO	260	
Starlink-1543 	LEO	260	
Starlink-1544 	LEO	260	
Starlink-1545 	LEO	260	
Starlink-1546	LEO	260	
Starlink-1547	LEO	260	
Starlink-1548 	LEO	260	
Starlink-1549 	LEO	260	
Starlink-1550	LEO	260	
Starlink-1551 	LEO	260	
Starlink-1552 	LEO	260	
Starlink-1553	LEO	260	
Starlink-1554 	LEO	260	
Starlink-1555 	LEO	260	
Starlink-1556 	LEO	260	
Starlink-1557 	LEO	260	
Starlink-1558 	LEO	260	
Starlink-1559 	LEO	260	
Starlink-1560 	LEO	260	
Starlink-1561 	LEO	260	
Starlink-1562 	LEO	260	
Starlink-1563 	LEO	260	
Starlink-1564 	LEO	260	
Starlink-1565 	LEO	260	
Starlink-1566 	LEO	260	
Starlink-1567 	LEO	260	
Starlink-1568 	LEO	260	
Starlink-1569 	LEO	260	
Starlink-1570 	LEO	260	
Starlink-1571 	LEO	260	
Starlink-1572 	LEO	260	
Starlink-1573 	LEO	260	
Starlink-1574 	LEO	260	
Starlink-1575	LEO	260	
Starlink-1576 	LEO	260	
Starlink-1577 	LEO	260	
Starlink-1578 	LEO	260	
Starlink-1579 	LEO	260	
Starlink-1580 	LEO	260	
Starlink-1581 	LEO	260	
Starlink-1582 	LEO	260	
Starlink-1583 	LEO	260	
Starlink-1584 	LEO	260	
Starlink-1585 	LEO	260	
Starlink-1586 	LEO	260	
Starlink-1587 	LEO	260	
Starlink-1588 	LEO	260	
Starlink-1589 	LEO	260	
Starlink-1590 	LEO	260	
Starlink-1591 	LEO	260	
Starlink-1593 	LEO	260	
Starlink-1594 	LEO	260	
Starlink-1595 	LEO	260	
Starlink-1596 	LEO	260	
Starlink-1597 	LEO	260	
Starlink-1598 	LEO	260	
Starlink-1600 	LEO	260	
Starlink-1601 	LEO	260	
Starlink-1602 	LEO	260	
Starlink-1603 	LEO	260	
Starlink-1604 	LEO	260	
Starlink-1605 	LEO	260	
Starlink-1606 	LEO	260	
Starlink-1607 	LEO	260	
Starlink-1608 	LEO	260	
Starlink-1609 	LEO	260	
Starlink-1610 	LEO	260	
Starlink-1611 	LEO	260	
Starlink-1612 	LEO	260	
Starlink-1613 	LEO	260	
Starlink-1614 	LEO	260	
Starlink-1615 	LEO	260	
Starlink-1616 	LEO	260	
Starlink-1617 	LEO	260	
Starlink-1618 	LEO	260	
Starlink-1619 	LEO	260	
Starlink-1620 	LEO	260	
Starlink-1621 	LEO	260	
Starlink-1622 	LEO	260	
Starlink-1623 	LEO	260	
Starlink-1624 	LEO	260	
Starlink-1625 	LEO	260	
Starlink-1626 	LEO	260	
Starlink-1627 	LEO	260	
Starlink-1628 	LEO	260	
